ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District,Gnome,Flamingo
11773070,JC366700,07/25/2019 07:00:00 PM,001XX N WACKER DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,122,1,False,False
11771969,JC364930,07/24/2019 02:01:00 PM,070XX N ASHLAND BLVD,890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),2423,24,False,False
11770764,JC363853,07/24/2019 04:45:00 PM,054XX S Ingleside Ave,820,THEFT,$500 AND UNDER,APARTMENT,233,2,False,False
11776744,JC371104,07/15/2019 09:00:00 PM,009XX W GORDON TER,820,THEFT,$500 AND UNDER,STREET,1915,19,False,False
11769632,JC362548,07/24/2019 06:00:00 AM,054XX S KIMBARK AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),234,2,False,False
11776729,JC371204,07/01/2019 05:00:00 PM,006XX W DIVERSEY PKWY,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,1935,19,False,False
11770787,JC364542,07/24/2019 10:00:00 PM,002XX W ERIE ST,820,THEFT,$500 AND UNDER,SIDEWALK,1831,18,False,False
11769621,JC362539,07/23/2019 07:30:00 PM,007XX N ORLEANS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,1831,18,False,False
11775507,JC369280,07/19/2019 04:33:00 AM,021XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CONSTRUCTION SITE,2032,20,False,False
11769641,JC362583,07/23/2019 03:15:00 PM,029XX N RIDGEWAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,2523,25,False,False
11769625,JC362146,07/23/2019 08:30:00 PM,061XX S UNIVERSITY AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),314,3,False,False
11769613,JC362137,07/23/2019 08:30:00 PM,0000X E MADISON ST,810,THEFT,OVER $500,RESTAURANT,112,1,False,False
11775496,JC369597,07/23/2019 06:05:00 PM,009XX W ROSCOE ST,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,1924,19,False,False
11775488,JC369107,06/26/2019 08:15:00 PM,049XX N KEDZIE AVE,820,THEFT,$500 AND UNDER,APARTMENT,1713,17,False,False
11775472,JC369293,06/20/2019 10:00:00 AM,001XX W POLK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,123,1,False,False
11769620,JC362436,07/23/2019 12:40:00 PM,009XX W RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,1224,12,False,False
11767913,JC360821,07/23/2019 07:15:00 AM,0000X E IDA B WELLS DR,890,THEFT,FROM BUILDING,OTHER,111,1,False,False
11768412,JC361443,07/22/2019 08:30:00 PM,030XX W ARMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,1421,14,False,False
11768423,JC360631,07/22/2019 07:05:00 PM,019XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,STREET,1434,14,False,False
11767195,JC359417,07/22/2019 08:00:00 AM,009XX W Fullerton Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1932,19,False,False
11767193,JC359180,07/21/2019 01:30:00 PM,008XX W AGATITE AVE,890,THEFT,FROM BUILDING,APARTMENT,1914,19,False,False
11768421,JC361123,07/21/2019 10:35:00 PM,027XX N BOSWORTH AVE,820,THEFT,$500 AND UNDER,STREET,1932,19,False,False
11768436,JC361410,07/21/2019 07:00:00 PM,021XX W BELMONT AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),1921,19,False,False
11767199,JC359452,07/20/2019 08:45:00 PM,053XX S HARPER AVE,870,THEFT,POCKET-PICKING,STREET,234,2,False,False
11771966,JC365089,07/07/2019 12:00:00 AM,003XX W WILLOW ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,1814,18,False,False
11767182,JC359165,07/20/2019 02:25:00 PM,007XX W JACKSON BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),1232,12,False,False
11765979,JC358608,07/20/2019 10:00:00 PM,033XX N PAULINA ST,810,THEFT,OVER $500,SIDEWALK,1922,19,False,False
11771982,JC365220,06/06/2019 10:40:00 AM,021XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1225,12,False,False
11763800,JC356122,07/19/2019 07:52:00 PM,009XX N CHRISTIANA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,1121,11,False,False
