ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District
11865135,JC477443,10/17/2019 01:00:00 PM,001XX S WACKER DR,0810,THEFT,OVER $500,SIDEWALK,0122,001
11863670,JC475724,10/17/2019 06:00:00 AM,037XX S DEARBORN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0213,002
11847203,JC456138,10/01/2019 11:00:00 AM,045XX N ARTESIAN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),1911,019
11864123,JC475693,10/16/2019 03:00:00 PM,002XX N LA SALLE ST,0890,THEFT,FROM BUILDING,OTHER,0122,001
11864125,JC475692,10/16/2019 04:33:00 PM,023XX W Augusta Blvd,0560,ASSAULT,SIMPLE,STREET,1212,012
11869211,JC482613,10/05/2019 07:00:00 AM,005XX W MADISON ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),0121,001
11864136,JC475921,10/16/2019 12:00:00 AM,005XX N Halsted St,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1214,012
11866996,JC479475,10/12/2019 07:15:00 PM,010XX S STATE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,0123,001
11860806,JC472682,10/14/2019 05:15:00 AM,013XX N ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),1423,014
11861856,JC473067,10/14/2019 12:00:00 AM,065XX S DORCHESTER AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,0321,003
11866059,JC478759,09/24/2019 09:20:00 PM,014XX W Estes Ave,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),2423,024
11865139,JC477451,10/11/2019 02:38:00 PM,026XX W THOMAS ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1211,012
11860809,JC472686,10/12/2019 08:00:00 AM,010XX W ANCONA ST,0810,THEFT,OVER $500,STREET,1214,012
11865143,JC477348,10/03/2019 05:35:00 PM,006XX S PLYMOUTH CT,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0123,001
11860593,JC472525,10/11/2019 07:00:00 PM,003XX N PEORIA,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1214,012
